,countries,ioc_code,region,summer_participations,summer_gold,summer_silver,summer_bronze,summer_total,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total,total_participation,total_gold,total_silver,total_bronze,total_total
0,Bahamas,(BAH),Central America,17,8,2,6,16,0,0,0,0,0,17,8,2,6,16
1,Barbados,(BAR),Central America,13,0,0,1,1,0,0,0,0,0,13,0,0,1,1
2,Bermuda,(BER),Central America,19,1,0,1,2,8,0,0,0,0,27,1,0,1,2
3,Costa Rica,(CRC),Central America,16,1,1,2,4,6,0,0,0,0,22,1,1,2,4
4,Cuba,(CUB),Central America,21,84,69,82,235,0,0,0,0,0,21,84,69,82,235
5,Dominican Republic,(DOM),Central America,15,3,5,4,12,0,0,0,0,0,15,3,5,4,12
6,Grenada,(GRN),Central America,10,1,1,1,3,0,0,0,0,0,10,1,1,1,3
7,Guatemala,(GUA),Central America,15,0,1,0,1,1,0,0,0,0,16,0,1,0,1
8,Haiti,(HAI),Central America,16,0,1,1,2,1,0,0,0,0,17,0,1,1,2
9,Jamaica,(JAM),Central America,18,26,36,25,87,9,0,0,0,0,27,26,36,25,87
10,Panama,(PAN),Central America,18,1,0,2,3,0,0,0,0,0,18,1,0,2,3
11,Puerto Rico,(PUR),Central America,19,2,2,6,10,8,0,0,0,0,27,2,2,6,10
12,Trinidad and Tobago,(TTO),Central America,18,3,5,11,19,4,0,0,0,0,22,3,5,11,19
