,countries,ioc_code,region,summer_participations,summer_gold,summer_silver,summer_bronze,summer_total,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total,total_participation,total_gold,total_silver,total_bronze,total_total
0,Afghanistan,(AFG),Middle East,15,0,0,2,2,0,0,0,0,0,15,0,0,2,2
1,Algeria,(ALG),Middle East,14,5,4,8,17,3,0,0,0,0,17,5,4,8,17
2,Azerbaijan,(AZE),Middle East,7,7,14,28,49,7,0,0,0,0,14,7,14,28,49
3,Bahrain,(BRN),Middle East,10,2,2,0,4,0,0,0,0,0,10,2,2,0,4
4,Cyprus,(CYP),Middle East,11,0,1,0,1,12,0,0,0,0,23,0,1,0,1
5,Egypt,(EGY),Middle East,23,8,11,19,38,1,0,0,0,0,24,8,11,19,38
6,Iran,(IRI),Middle East,17,24,23,29,76,12,0,0,0,0,29,24,23,29,76
7,Iraq,(IRQ),Middle East,15,0,0,1,1,0,0,0,0,0,15,0,0,1,1
8,Israel,(ISR),Middle East,17,3,1,9,13,8,0,0,0,0,25,3,1,9,13
9,Jordan,(JOR),Middle East,11,1,1,1,3,0,0,0,0,0,11,1,1,1,3
10,Kuwait,(KUW),Middle East,13,0,0,3,3,0,0,0,0,0,13,0,0,3,3
11,Lebanon,(LBN),Middle East,18,0,2,2,4,18,0,0,0,0,36,0,2,2,4
12,Morocco,(MAR),Middle East,15,7,5,12,24,8,0,0,0,0,23,7,5,12,24
13,Pakistan,(PAK),Middle East,18,3,3,4,10,4,0,0,0,0,22,3,3,4,10
14,Qatar,(QAT),Middle East,10,2,2,4,8,0,0,0,0,0,10,2,2,4,8
15,Saudi Arabia,(KSA),Middle East,12,0,2,2,4,1,0,0,0,0,13,0,2,2,4
16,Syria,(SYR),Middle East,14,1,1,2,4,0,0,0,0,0,14,1,1,2,4
17,Tunisia,(TUN),Middle East,15,5,3,7,15,0,0,0,0,0,15,5,3,7,15
18,Turkey,(TUR),Middle East,23,41,26,37,104,18,0,0,0,0,41,41,26,37,104
19,United Arab Emirates,(UAE),Middle East,10,1,0,1,2,0,0,0,0,0,10,1,0,1,2
