,countries,ioc_code,region,summer_participations,summer_gold,summer_silver,summer_bronze,summer_total,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total,total_participation,total_gold,total_silver,total_bronze,total_total
0,Argentina,(ARG),South America,25,21,26,30,77,20,0,0,0,0,45,21,26,30,77
1,Brazil,(BRA),South America,23,37,42,71,150,9,0,0,0,0,32,37,42,71,150
2,Chile,(CHI),South America,24,2,7,4,13,18,0,0,0,0,42,2,7,4,13
3,Colombia,(COL),South America,20,5,13,16,34,3,0,0,0,0,23,5,13,16,34
4,Ecuador,(ECU),South America,15,3,2,0,5,2,0,0,0,0,17,3,2,0,5
5,Guyana,(GUY),South America,18,0,0,1,1,0,0,0,0,0,18,0,0,1,1
6,Paraguay,(PAR),South America,13,0,1,0,1,1,0,0,0,0,14,0,1,0,1
7,Peru,(PER),South America,19,1,3,0,4,3,0,0,0,0,22,1,3,0,4
8,Suriname,(SUR),South America,13,1,0,1,2,0,0,0,0,0,13,1,0,1,2
9,Uruguay,(URU),South America,22,2,2,6,10,1,0,0,0,0,23,2,2,6,10
10,Venezuela,(VEN),South America,19,3,7,9,19,4,0,0,0,0,23,3,7,9,19
