,countries,summer_participations,summer_gold,summer_silver,summer_bronze,summer_total
0,China,11,262,199,173,634
1,Hong Kong,17,2,3,4,9
2,India,25,10,9,16,35
3,Indonesia,16,8,14,15,37
4,Japan,23,169,150,178,497
5,Kazakhstan,7,14,22,35,71
6,North Korea,10,16,16,23,55
7,South Korea,18,96,91,100,287
8,Kyrgyzstan,7,0,3,4,7
9,Malaysia,14,0,8,5,13
10,Mongolia,14,2,11,17,30
11,Philippines,22,1,5,8,14
12,Singapore,17,1,2,2,5
13,Sri Lanka,18,0,2,0,2
14,Chinese Taipei,15,7,11,18,36
15,Tajikistan,7,1,1,2,4
16,Thailand,17,10,8,17,35
17,Turkmenistan,7,0,1,0,1
18,Uzbekistan,7,10,6,20,36
19,Vietnam,16,1,3,1,5
