,countries,summer_participations,summer_gold,summer_silver,summer_bronze,summer_total
0,Armenia,7,2,8,8,18
1,Austria,28,20,35,41,96
2,Belarus,7,13,30,42,85
3,Belgium,27,44,56,57,157
4,Bulgaria,21,54,88,82,224
5,Croatia,8,14,13,14,41
6,Czech Republic,7,19,21,27,67
7,Denmark,28,48,78,79,205
8,Estonia,13,10,9,17,36
9,Finland,26,101,85,119,305
10,France,29,223,251,277,751
11,Georgia,7,10,12,18,40
12,Germany,17,201,207,247,655
13,Great Britain,29,284,318,314,916
14,Greece,29,35,45,41,121
15,Hungary,27,181,154,176,511
16,Iceland,21,0,2,2,4
17,Ireland,22,11,10,14,35
18,Italy,28,217,188,213,618
19,Kosovo,2,3,0,0,3
20,Latvia,12,4,11,6,21
21,Liechtenstein,18,0,0,0,0
22,Lithuania,10,6,7,13,26
23,Luxembourg,25,2,1,0,3
24,Moldova,7,0,2,4,6
25,Montenegro,4,0,1,0,1
26,Netherlands,27,95,105,122,322
27,North Macedonia,7,0,1,1,2
28,Norway,27,62,51,50,163
29,Poland,22,72,89,137,298
30,Portugal,25,5,9,14,28
31,Romania,22,90,97,121,308
32,Russia,6,148,126,151,425
33,San Marino,15,0,1,2,3
34,Serbia,5,6,7,11,24
35,Slovakia,7,10,14,8,32
36,Slovenia,8,8,9,11,28
37,Spain,24,48,72,49,169
38,Sweden,28,148,176,179,503
39,Switzerland,29,53,79,74,206
40,Ukraine,7,35,36,68,139
