,countries,total_participation,total_gold,total_silver,total_bronze,total_total
0,Botswana,11,0,1,1,2
1,Burkina Faso,10,0,0,1,1
2,Burundi,7,1,1,0,2
3,Cameroon,16,3,1,2,6
4,Ivory Coast,14,1,1,2,4
5,Djibouti,9,0,0,1,1
6,Eritrea,8,0,0,1,1
7,Ethiopia,16,23,12,23,58
8,Gabon,11,0,1,0,1
9,Ghana,18,0,1,4,5
10,Kenya,19,35,42,36,113
11,Mauritius,10,0,0,1,1
12,Mozambique,11,1,0,1,2
13,Namibia,8,0,5,0,5
14,Niger,13,0,1,1,2
15,Nigeria,19,3,11,13,27
16,Senegal,20,0,1,0,1
17,South Africa,27,27,33,29,89
18,Sudan,13,0,1,0,1
19,Tanzania,14,0,2,0,2
20,Togo,13,0,0,1,1
21,Uganda,16,4,4,3,11
22,Zambia,14,0,1,1,2
23,Zimbabwe,15,3,4,1,8
