,countries,total_participation,total_gold,total_silver,total_bronze,total_total
0,China,23,284,231,196,711
1,Hong Kong,23,2,3,4,9
2,India,36,10,9,16,35
3,Indonesia,16,8,14,15,37
4,Japan,45,186,178,209,573
5,Kazakhstan,15,15,25,39,79
6,North Korea,19,16,17,24,57
7,South Korea,37,129,121,116,366
8,Kyrgyzstan,15,0,3,4,7
9,Malaysia,16,0,8,5,13
10,Mongolia,29,2,11,17,30
11,Philippines,28,1,5,8,14
12,Singapore,18,1,2,2,5
13,Sri Lanka,18,0,2,0,2
14,Chinese Taipei,28,7,11,18,36
15,Tajikistan,11,1,1,2,4
16,Thailand,22,10,8,17,35
17,Turkmenistan,7,0,1,0,1
18,Uzbekistan,15,11,6,20,37
19,Vietnam,16,1,3,1,5
