,countries,total_participation,total_gold,total_silver,total_bronze,total_total
0,Armenia,15,2,8,8,18
1,Austria,52,91,123,132,346
2,Belarus,15,21,37,47,105
3,Belgium,49,46,58,61,165
4,Bulgaria,42,55,90,85,230
5,Croatia,17,18,19,15,52
6,Czech Republic,15,29,32,40,101
7,Denmark,43,48,79,79,206
8,Estonia,24,14,11,19,44
9,Finland,50,146,150,184,480
10,France,53,264,293,332,889
11,Georgia,15,10,12,18,40
12,Germany,30,305,305,312,922
13,Great Britain,53,296,323,331,950
14,Greece,49,35,45,41,121
15,Hungary,51,183,156,182,521
16,Iceland,40,0,2,2,4
17,Ireland,30,11,10,14,35
18,Italy,52,259,231,269,759
19,Kosovo,4,3,0,0,3
20,Latvia,24,5,14,12,31
21,Liechtenstein,38,2,2,6,10
22,Lithuania,20,6,7,13,26
23,Luxembourg,35,2,3,0,5
24,Moldova,15,0,2,4,6
25,Montenegro,8,0,1,0,1
26,Netherlands,49,148,154,167,469
27,North Macedonia,14,0,1,1,2
28,Norway,51,210,184,174,568
29,Poland,46,79,96,146,321
30,Portugal,34,5,9,14,28
31,Romania,44,90,97,122,309
32,Russia,12,195,165,186,546
33,San Marino,26,0,1,2,3
34,Serbia,9,6,7,11,24
35,Slovakia,15,14,18,10,42
36,Slovenia,17,12,17,23,52
37,Spain,45,49,73,52,174
38,Sweden,52,213,227,239,679
39,Switzerland,53,116,126,132,374
40,Ukraine,15,38,38,72,148
