,countries,total_participation,total_gold,total_silver,total_bronze,total_total
0,Afghanistan,15,0,0,2,2
1,Algeria,17,5,4,8,17
2,Azerbaijan,14,7,14,28,49
3,Bahrain,10,2,2,0,4
4,Cyprus,23,0,1,0,1
5,Egypt,24,8,11,19,38
6,Iran,29,24,23,29,76
7,Iraq,15,0,0,1,1
8,Israel,25,3,1,9,13
9,Jordan,11,1,1,1,3
10,Kuwait,13,0,0,3,3
11,Lebanon,36,0,2,2,4
12,Morocco,23,7,5,12,24
13,Pakistan,22,3,3,4,10
14,Qatar,10,2,2,4,8
15,Saudi Arabia,13,0,2,2,4
16,Syria,14,1,1,2,4
17,Tunisia,15,5,3,7,15
18,Turkey,41,41,26,37,104
19,United Arab Emirates,10,1,0,1,2
