,countries,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total
0,China,12,22,32,23,77
1,Hong Kong,6,0,0,0,0
2,India,11,0,0,0,0
3,Indonesia,0,0,0,0,0
4,Japan,22,17,28,31,76
5,Kazakhstan,8,1,3,4,8
6,North Korea,9,0,1,1,2
7,South Korea,19,33,30,16,79
8,Kyrgyzstan,8,0,0,0,0
9,Malaysia,2,0,0,0,0
10,Mongolia,15,0,0,0,0
11,Philippines,6,0,0,0,0
12,Singapore,1,0,0,0,0
13,Sri Lanka,0,0,0,0,0
14,Chinese Taipei,13,0,0,0,0
15,Tajikistan,4,0,0,0,0
16,Thailand,5,0,0,0,0
17,Turkmenistan,0,0,0,0,0
18,Uzbekistan,8,1,0,0,1
19,Vietnam,0,0,0,0,0
