,countries,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total
0,Armenia,8,0,0,0,0
1,Austria,24,71,88,91,250
2,Belarus,8,8,7,5,20
3,Belgium,22,2,2,4,8
4,Bulgaria,21,1,2,3,6
5,Croatia,9,4,6,1,11
6,Czech Republic,8,10,11,13,34
7,Denmark,15,0,1,0,1
8,Estonia,11,4,2,2,8
9,Finland,24,45,65,65,175
10,France,24,41,42,55,138
11,Georgia,8,0,0,0,0
12,Germany,13,104,98,65,267
13,Great Britain,24,12,5,17,34
14,Greece,20,0,0,0,0
15,Hungary,24,2,2,6,10
16,Iceland,19,0,0,0,0
17,Ireland,8,0,0,0,0
18,Italy,24,42,43,56,141
19,Kosovo,2,0,0,0,0
20,Latvia,12,1,3,6,10
21,Liechtenstein,20,2,2,6,10
22,Lithuania,10,0,0,0,0
23,Luxembourg,10,0,2,0,2
24,Moldova,8,0,0,0,0
25,Montenegro,4,0,0,0,0
26,Netherlands,22,53,49,45,147
27,North Macedonia,7,0,0,0,0
28,Norway,24,148,133,124,405
29,Poland,24,7,7,9,23
30,Portugal,9,0,0,0,0
31,Romania,22,0,0,1,1
32,Russia,6,47,39,35,121
33,San Marino,11,0,0,0,0
34,Serbia,4,0,0,0,0
35,Slovakia,8,4,4,2,10
36,Slovenia,9,4,8,12,24
37,Spain,21,1,1,3,5
38,Sweden,24,65,51,60,176
39,Switzerland,24,63,47,58,168
40,Ukraine,8,3,2,4,9
