,countries,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total
0,Afghanistan,0,0,0,0,0
1,Algeria,3,0,0,0,0
2,Azerbaijan,7,0,0,0,0
3,Bahrain,0,0,0,0,0
4,Cyprus,12,0,0,0,0
5,Egypt,1,0,0,0,0
6,Iran,12,0,0,0,0
7,Iraq,0,0,0,0,0
8,Israel,8,0,0,0,0
9,Jordan,0,0,0,0,0
10,Kuwait,0,0,0,0,0
11,Lebanon,18,0,0,0,0
12,Morocco,8,0,0,0,0
13,Pakistan,4,0,0,0,0
14,Qatar,0,0,0,0,0
15,Saudi Arabia,1,0,0,0,0
16,Syria,0,0,0,0,0
17,Tunisia,0,0,0,0,0
18,Turkey,18,0,0,0,0
19,United Arab Emirates,0,0,0,0,0
